"id","longitude","latitude","elevation","title","place_description","sig","mag","mag_type","time","updated","effect","row_number","country_code","sig_class"
"us7000nvg1","106.2816","-48.7653","10.0","M 5.0 - southeast Indian Ridge","southeast Indian Ridge","385","5.0","mb","2024-12-02 15:11:52.852000","2024-12-02 20:02:42.040000","Minor damage","149","AU","Moderate"
"us7000nx4r","-109.734","-9.122","10.0","M 5.1 - central East Pacific Rise","central East Pacific Rise","400","5.1","mb","2024-12-08 20:27:27.847000","2024-12-08 21:36:58.040000","Minor damage","221","CL","Moderate"
"us7000nwuw","124.4546","-2.1329","10.0","M 5.1 - 169 km W of Sanana, Indonesia","169 km W of Sanana, Indonesia","400","5.1","mb","2024-12-07 09:41:25.865000","2024-12-07 09:57:57.040000","Minor damage","115","ID","Moderate"
"us7000nwyv","-173.5838","-20.9882","10.0","M 5.4 - 147 km ENE of ‘Ohonua, Tonga","147 km ENE of ‘Ohonua, Tonga","449","5.4","mb","2024-12-07 23:25:12.527000","2024-12-08 01:28:06.647000","Minor damage","279","TO","Moderate"
"us7000ny8e","166.0756","-12.0513","10.0","M 5.0 - 149 km SSE of Lata, Solomon Islands","149 km SSE of Lata, Solomon Islands","385","5.0","mb","2024-12-12 19:37:10.764000","2024-12-12 20:07:26.973000","Minor damage","222","SB","Moderate"
"us7000ny8h","166.232","-11.8928","10.0","M 5.1 - 137 km SSE of Lata, Solomon Islands","137 km SSE of Lata, Solomon Islands","401","5.1","mb","2024-12-12 19:46:39.943000","2024-12-12 20:07:04.129000","Minor damage","225","SB","Moderate"
"us7000ny8l","141.9457","30.5632","10.0","M 5.1 - Izu Islands, Japan region","Izu Islands, Japan region","400","5.1","mb","2024-12-12 19:55:20.012000","2024-12-12 20:12:33.040000","Minor damage","226","JP","Moderate"
"us7000nv14","-81.1288","-8.8534","10.0","M 5.2 - 230 km WSW of Santiago de Cao, Peru","230 km WSW of Santiago de Cao, Peru","416","5.2","mb","2024-11-30 00:36:00.126000","2024-11-30 22:36:37.139000","Minor damage","3","PE","Moderate"
"us7000nuix","-47.6045","-60.2725","10.0","M 5.2 - Scotia Sea","Scotia Sea","416","5.2","mb","2024-11-27 15:59:18.111000","2024-11-27 16:14:49.040000","Minor damage","225","GS","Moderate"
"us7000nuku","100.1068","48.6418","10.0","M 5.1 - 109 km SSW of Tsengel, Mongolia","109 km SSW of Tsengel, Mongolia","400","5.1","mb","2024-11-27 20:34:40.723000","2024-11-27 20:52:31.040000","Minor damage","280","MN","Moderate"
"us7000nvrp","123.3442","23.7065","10.0","M 5.1 - 91 km SSE of Yonakuni, Japan","91 km SSE of Yonakuni, Japan","400","5.1","mb","2024-12-04 00:09:30.597000","2024-12-04 03:44:30.040000","Minor damage","3","JP","Moderate"
"us7000nvs3","80.4451","18.3418","10.0","M 5.0 - 55 km ENE of Mulugu, India","55 km ENE of Mulugu, India","480","5.0","mb","2024-12-04 01:56:57.937000","2024-12-05 05:23:40.915000","Minor damage","27","IN","Moderate"
"us7000nvkm","85.6983","-41.2909","10.0","M 5.1 - southeast Indian Ridge","southeast Indian Ridge","400","5.1","mb","2024-12-03 07:29:29.514000","2024-12-03 07:47:40.040000","Minor damage","104","TF","Moderate"
"us6000p7j5","128.5103","25.8865","10.0","M 5.1 - 80 km SE of Katsuren-haebaru, Japan","80 km SE of Katsuren-haebaru, Japan","400","5.1","mb","2024-11-25 06:10:42.215000","2024-11-25 11:49:43.033000","Minor damage","73","JP","Moderate"
"us7000nw1c","49.5826","31.7002","10.0","M 5.6 - 37 km SE of Masjed Soleymān, Iran","37 km SE of Masjed Soleymān, Iran","495","5.6","mb","2024-12-05 04:02:39.687000","2024-12-06 04:09:29.071000","Minor damage","55","IR","Moderate"
"us7000nw1v","73.7417","32.798","10.0","M 5.2 - 7 km W of Mehmand Chak, Pakistan","7 km W of Mehmand Chak, Pakistan","427","5.2","mb","2024-12-05 06:21:22.666000","2024-12-05 16:27:12.767000","Minor damage","87","PK","Moderate"
"us7000nw43","51.6774","28.3941","10.0","M 5.0 - 100 km WSW of Fīrūzābād, Iran","100 km WSW of Fīrūzābād, Iran","385","5.0","mb","2024-12-05 13:25:58.229000","2024-12-05 13:44:42.040000","Minor damage","202","IR","Moderate"
"us7000nw8z","-104.4441","-4.153","10.0","M 5.1 - central East Pacific Rise","central East Pacific Rise","400","5.1","mb","2024-12-05 19:41:07.774000","2024-12-05 20:05:59.040000","Minor damage","345","EC","Moderate"
"us7000nxj8","53.3992","-35.9942","10.0","M 5.3 - Southwest Indian Ridge","Southwest Indian Ridge","432","5.3","mb","2024-12-10 07:50:56.268000","2024-12-10 20:32:03.964000","Minor damage","182","MG","Moderate"
"us7000nxb7","-106.2525","-35.5068","10.0","M 5.0 - southern East Pacific Rise","southern East Pacific Rise","385","5.0","mb","2024-12-09 14:00:09.929000","2024-12-09 16:09:19.040000","Minor damage","187","CL","Moderate"
"us6000p6i8","165.7385","-12.1247","10.0","M 5.3 - 154 km S of Lata, Solomon Islands","154 km S of Lata, Solomon Islands","432","5.3","mww","2024-11-20 09:26:28.993000","2024-11-20 09:44:35.040000","Minor damage","70","SB","Moderate"
"us7000nsjt","-175.7866","-21.1189","10.0","M 5.6 - 50 km W of Houma, Tonga","50 km W of Houma, Tonga","482","5.6","mww","2024-11-19 02:41:53.877000","2024-11-20 02:44:41.958000","Minor damage","15","TO","Moderate"
"us7000nrwt","-82.4485","6.5015","10.0","M 5.0 - 175 km SSE of Burica, Panama","175 km SSE of Burica, Panama","385","5.0","mww","2024-11-15 03:46:45.931000","2024-11-15 04:05:40.040000","Minor damage","33","PA","Moderate"
"us7000nryg","153.9433","-61.5218","10.0","M 5.5 - Balleny Islands region","Balleny Islands region","465","5.5","mww","2024-11-15 10:41:05.732000","2024-11-15 20:25:52.165000","Minor damage","100","AU","Moderate"
"us7000nwz5","-17.3989","64.5938","10.0","M 5.2 - 111 km WNW of Höfn, Iceland","111 km WNW of Höfn, Iceland","416","5.2","mww","2024-12-08 01:49:44.768000","2024-12-08 02:09:54.040000","Minor damage","15","IS","Moderate"
"us7000nx3c","-109.6788","-9.0424","10.0","M 5.3 - central East Pacific Rise","central East Pacific Rise","432","5.3","mww","2024-12-08 16:26:06.037000","2024-12-09 01:17:09.040000","Minor damage","180","CL","Moderate"
"us7000nx3e","-109.3363","-8.9311","10.0","M 5.5 - central East Pacific Rise","central East Pacific Rise","465","5.5","mww","2024-12-08 16:41:19.806000","2024-12-09 01:33:44.884000","Minor damage","184","CL","Moderate"
"us7000nx3l","-109.8632","-9.3402","10.0","M 5.6 - central East Pacific Rise","central East Pacific Rise","482","5.6","mww","2024-12-08 18:07:49.881000","2024-12-08 20:10:43.054000","Minor damage","202","CL","Moderate"
"us7000ny28","-178.4346","-15.0712","10.0","M 5.5 - 91 km SSW of Alo, Wallis and Futuna","91 km SSW of Alo, Wallis and Futuna","465","5.5","mww","2024-12-12 01:51:35.459000","2024-12-13 01:55:03.959000","Minor damage","17","WF","Moderate"
"us7000ny80","166.1221","-12.058","10.0","M 5.2 - 151 km SSE of Lata, Solomon Islands","151 km SSE of Lata, Solomon Islands","416","5.2","mww","2024-12-12 17:29:51.579000","2024-12-12 17:50:58.040000","Minor damage","203","SB","Moderate"
"us7000nv52","-108.4169","19.3784","10.0","M 5.4 - Revilla Gigedo Islands region","Revilla Gigedo Islands region","449","5.4","mww","2024-11-30 15:08:50.731000","2024-11-30 17:11:33.906000","Minor damage","204","MX","Moderate"
"us7000nvts","-81.6193","-43.514","10.0","M 5.3 - West Chile Rise","West Chile Rise","432","5.3","mww","2024-12-04 07:11:51.277000","2024-12-05 07:15:16.901000","Minor damage","106","CL","Moderate"
"us7000nw1s","49.5045","31.8473","10.0","M 5.0 - 21 km ESE of Masjed Soleymān, Iran","21 km ESE of Masjed Soleymān, Iran","385","5.0","mww","2024-12-05 05:38:47.558000","2024-12-05 09:41:40.250000","Minor damage","77","IR","Moderate"
"us7000nx46","-177.229","50.851","10.0","M 5.0 - 121 km SSW of Adak, Alaska","121 km SSW of Adak, Alaska","385","5.0","mb","2024-12-08 20:01:18.290000","2024-12-08 22:11:20.835000","Minor damage","215","US","Moderate"
"us7000nxhl","-177.3508","51.092","10.0","M 5.1 - 100 km SSW of Adak, Alaska","100 km SSW of Adak, Alaska","400","5.1","mb","2024-12-10 03:44:16.403000","2024-12-10 04:14:34.606000","Minor damage","98","US","Moderate"
"us7000nx5u","-177.2029","50.8057","10.0","M 5.0 - 125 km SSW of Adak, Alaska","125 km SSW of Adak, Alaska","385","5.0","mb","2024-12-09 00:21:51.607000","2024-12-10 00:29:00.040000","Minor damage","8","US","Moderate"
"us7000nx66","-177.1298","50.824","10.0","M 5.2 - 121 km SSW of Adak, Alaska","121 km SSW of Adak, Alaska","416","5.2","mb","2024-12-09 00:22:08.276000","2024-12-10 00:38:38.040000","Minor damage","9","US","Moderate"
"us7000nx5y","-177.2554","50.8419","10.0","M 5.2 - 122 km SSW of Adak, Alaska","122 km SSW of Adak, Alaska","416","5.2","mb","2024-12-09 00:30:38.677000","2024-12-10 01:12:06.040000","Minor damage","11","US","Moderate"
"us7000nx6r","-177.4621","50.8447","10.0","M 5.3 - 128 km SSW of Adak, Alaska","128 km SSW of Adak, Alaska","432","5.3","mb","2024-12-09 03:30:24.221000","2024-12-10 03:35:08.762000","Minor damage","43","US","Moderate"
"us7000nx6s","-177.5084","50.8605","10.0","M 5.6 - 128 km SSW of Adak, Alaska","128 km SSW of Adak, Alaska","482","5.6","mww","2024-12-09 03:31:56.893000","2024-12-10 03:36:35.852000","Minor damage","44","US","Moderate"
"us7000nx6z","-177.4666","50.8283","10.0","M 5.2 - 129 km SSW of Adak, Alaska","129 km SSW of Adak, Alaska","416","5.2","mb","2024-12-09 03:38:12.510000","2024-12-09 06:16:24.018000","Minor damage","46","US","Moderate"
"us7000nx85","-177.4599","50.9216","10.0","M 5.1 - 120 km SSW of Adak, Alaska","120 km SSW of Adak, Alaska","400","5.1","mb","2024-12-09 05:56:48.518000","2024-12-09 09:12:30.546000","Minor damage","78","US","Moderate"
"us7000nxct","66.7514","-9.2495","10.0","M 5.7 - Mid-Indian Ridge","Mid-Indian Ridge","500","5.7","mww","2024-12-09 17:25:22.766000","2024-12-09 19:27:49.467000","Minor damage","228","MU","High"
"us7000nwwp","-16.7717","-40.2745","10.0","M 5.8 - southern Mid-Atlantic Ridge","southern Mid-Atlantic Ridge","518","5.8","mwb","2024-12-07 17:31:59.828000","2024-12-07 23:23:31.801000","Minor damage","202","SH","High"
"us7000nx6q","-177.5274","50.9072","10.0","M 5.7 - 124 km SSW of Adak, Alaska","124 km SSW of Adak, Alaska","500","5.7","mww","2024-12-09 03:26:39.994000","2024-12-10 03:31:35.954000","Minor damage","41","US","High"
"us7000nu90","136.3492","37.0484","10.0","M 6.1 - 42 km WNW of Hakui, Japan","42 km WNW of Hakui, Japan","604","6.1","mww","2024-11-26 13:47:03.695000","2024-11-27 04:42:59.883000","Slight damage","165","JP","High"
"pr71467188","-66.8295","18.0038333333333","10.0","M 2.1 - 1 km NW of Indios, Puerto Rico","1 km NW of Indios, Puerto Rico","68","2.1","md","2024-11-29 11:14:05.260000","2024-11-29 12:33:03.110000","Unfelt","89","PR","Low"
"us7000nxx8","23.8042","38.0604","10.0","M 2.5 - 1 km E of Péfki, Greece","1 km E of Péfki, Greece","99","2.5","ml","2024-12-11 17:29:22.719000","2024-12-11 20:43:43.671000","Unfelt","215","GR","Low"
"nc75095651","-125.021666666667","40.374","10.0","M 7.0 - 2024 Offshore Cape Mendocino, California Earthquake","2024 Offshore Cape Mendocino, California Earthquake","1544","7.0","mw","2024-12-05 18:44:21.110000","2024-12-06 08:30:45.488000","Major damage","276","US","High"
"us7000nx5z","-177.4336","50.8286","10.0","M 6.1 - 128 km SSW of Adak, Alaska","128 km SSW of Adak, Alaska","573","6.1","mww","2024-12-09 00:38:52.644000","2024-12-10 02:22:41.162000","Slight damage","15","US","High"
"us7000nsa3","131.3955","29.0501","8.0","M 6.1 - 155 km SSE of Koshima, Japan","155 km SSE of Koshima, Japan","573","6.1","mww","2024-11-17 12:16:29.918000","2024-11-17 23:15:15.526000","Slight damage","83","JP","High"
"us7000nrwz","153.3201","-4.7021","51.891","M 6.6 - 123 km ESE of Kokopo, Papua New Guinea","123 km ESE of Kokopo, Papua New Guinea","672","6.6","mww","2024-11-15 05:28:29.617000","2024-11-16 08:12:03.649000","Slight damage","52","PG","High"
"us7000nx17","152.2754","48.8707","207.0","M 6.0 - Kuril Islands","Kuril Islands","554","6.0","mww","2024-12-08 10:24:59.950000","2024-12-08 14:31:09.456000","Slight damage","114","RU","High"
"us7000nx3z","-177.3377","50.952","18.0","M 6.3 - 113 km SSW of Adak, Alaska","113 km SSW of Adak, Alaska","612","6.3","mww","2024-12-08 19:57:08.455000","2024-12-09 08:07:13.592000","Slight damage","214","US","High"
"us7000nx5r","-177.1825","50.9881","19.0","M 6.3 - 105 km SSW of Adak, Alaska","105 km SSW of Adak, Alaska","611","6.3","mww","2024-12-09 00:15:30.609000","2024-12-10 00:22:47.009000","Slight damage","4","US","High"
"us6000p6id","-176.2713","-20.7276","227.659","M 5.5 - 112 km WNW of Houma, Tonga","112 km WNW of Houma, Tonga","466","5.5","mww","2024-11-20 10:42:57.906000","2024-11-20 13:46:28.875000","Minor damage","80","TO","Moderate"
"us6000p6m3","-174.3371","-17.2155","199.815","M 5.1 - 151 km SSW of Hihifo, Tonga","151 km SSW of Hihifo, Tonga","400","5.1","mww","2024-11-20 18:44:16.250000","2024-11-20 19:10:10.040000","Minor damage","136","TO","Moderate"
"us7000nsaz","153.282","-4.7722","69.305","M 5.2 - 122 km ESE of Kokopo, Papua New Guinea","122 km ESE of Kokopo, Papua New Guinea","416","5.2","mww","2024-11-17 18:55:37.688000","2024-11-17 20:03:12.522000","Minor damage","121","PG","Moderate"
"us7000nskr","126.14","6.0785","98.377","M 5.0 - 31 km S of Pondaguitan, Philippines","31 km S of Pondaguitan, Philippines","385","5.0","mww","2024-11-19 08:34:01.837000","2024-11-19 15:30:31.389000","Minor damage","53","PH","Moderate"
"us6000p6ev","138.3777","34.08","248.76","M 5.0 - 59 km SSE of Ōyama, Japan","59 km SSE of Ōyama, Japan","388","5.0","mww","2024-11-19 18:36:11.555000","2024-11-20 07:39:33.892000","Minor damage","139","JP","Moderate"
"us7000ns4s","166.617","-12.2641","121.078","M 5.4 - 192 km SSE of Lata, Solomon Islands","192 km SSE of Lata, Solomon Islands","449","5.4","mww","2024-11-16 08:22:26.677000","2024-11-17 08:25:08.593000","Minor damage","49","SB","Moderate"
"us7000nu6z","142.0979","38.7112","35.0","M 5.3 - 51 km SE of Ōfunato, Japan","51 km SE of Ōfunato, Japan","433","5.3","mww","2024-11-26 04:31:20.827000","2024-11-27 05:07:02.089000","Minor damage","43","JP","Moderate"
"us7000nu8n","-71.3548","-30.4512","51.195","M 5.1 - 22 km NW of Ovalle, Chile","22 km NW of Ovalle, Chile","402","5.1","mww","2024-11-26 12:33:09.199000","2024-11-26 18:22:07.906000","Minor damage","141","CL","Moderate"
"us7000nuc0","155.4911","49.3507","56.648","M 5.4 - 154 km SSW of Severo-Kuril’sk, Russia","154 km SSW of Severo-Kuril’sk, Russia","449","5.4","mww","2024-11-26 21:01:48.770000","2024-11-26 23:04:59.327000","Minor damage","235","RU","Moderate"
"us6000p6s7","144.1875","11.7214","39.455","M 5.2 - 178 km SSW of Merizo Village, Guam","178 km SSW of Merizo Village, Guam","416","5.2","mww","2024-11-21 15:39:52.516000","2024-11-22 03:50:05.048000","Minor damage","145","GU","Moderate"
"us7000nxwu","166.0929","-12.0226","39.342","M 5.4 - 147 km SSE of Lata, Solomon Islands","147 km SSE of Lata, Solomon Islands","449","5.4","mww","2024-12-11 16:44:03.836000","2024-12-11 18:46:43.886000","Minor damage","206","SB","Moderate"
"us7000nxya","-178.2739","-30.5917","49.139","M 5.2 - Kermadec Islands, New Zealand","Kermadec Islands, New Zealand","416","5.2","mww","2024-12-11 20:57:12.771000","2024-12-11 21:21:36.040000","Minor damage","256","TO","Moderate"
"us7000nwtv","-73.8601","-38.9093","18.383","M 5.3 - 64 km WSW of Carahue, Chile","64 km WSW of Carahue, Chile","453","5.3","mww","2024-12-07 06:26:23.179000","2024-12-08 02:34:52.436000","Minor damage","78","CL","Moderate"
"us7000nv3k","123.3914","23.8401","23.58","M 5.2 - 79 km SSE of Yonakuni, Japan","79 km SSE of Yonakuni, Japan","416","5.2","mww","2024-11-30 09:07:02.376000","2024-11-30 09:55:57.152000","Minor damage","139","JP","Moderate"
"us7000nv4l","179.7241","-24.1458","525.886","M 5.1 - south of the Fiji Islands","south of the Fiji Islands","400","5.1","mww","2024-11-30 13:15:40.304000","2024-11-30 13:34:41.040000","Minor damage","185","FJ","Moderate"
"us7000nvkt","-178.8044","-21.183","574.746","M 5.4 - Fiji region","Fiji region","449","5.4","mww","2024-12-03 08:06:03.962000","2024-12-04 08:08:32.103000","Minor damage","116","TO","Moderate"
"us7000nvnb","126.4094","4.8191","12.965","M 5.2 - 123 km ESE of Sarangani, Philippines","123 km ESE of Sarangani, Philippines","416","5.2","mww","2024-12-03 16:09:11.319000","2024-12-03 16:28:48.040000","Minor damage","214","ID","Moderate"
"us7000nw44","-66.8116","-23.459","226.76","M 5.2 - 97 km NNW of San Antonio de los Cobres, Argentina","97 km NNW of San Antonio de los Cobres, Argentina","416","5.2","mww","2024-12-05 13:39:51.386000","2024-12-05 13:55:25.040000","Minor damage","205","AR","Moderate"
"us7000nwmn","121.2091","1.5555","12.625","M 5.5 - 234 km WNW of Gorontalo, Indonesia","234 km WNW of Gorontalo, Indonesia","465","5.5","mww","2024-12-06 17:14:57.842000","2024-12-06 19:18:48.520000","Minor damage","311","ID","Moderate"
"us6000p6j0","136.1263","46.4348","407.432","M 5.1 - 23 km E of Vostok, Russia","23 km E of Vostok, Russia","400","5.1","mb","2024-11-20 15:09:02.466000","2024-11-20 15:27:34.040000","Minor damage","114","RU","Moderate"
"us6000p7bu","142.4938","40.194","45.666","M 5.1 - 58 km E of Noda, Japan","58 km E of Noda, Japan","401","5.1","mb","2024-11-23 23:22:30.344000","2024-11-24 01:37:35.514000","Minor damage","195","JP","Moderate"
"us7000ns5p","140.9548","41.0115","11.86","M 5.0 - 10 km N of Hiranai, Japan","10 km N of Hiranai, Japan","387","5.0","mb","2024-11-16 12:22:17.713000","2024-11-16 23:56:33.827000","Minor damage","86","JP","Moderate"
"us7000ns62","159.7802","53.208","60.216","M 5.1 - 78 km ENE of Petropavlovsk-Kamchatsky, Russia","78 km ENE of Petropavlovsk-Kamchatsky, Russia","400","5.1","mb","2024-11-16 13:47:36.626000","2024-11-16 14:33:50.313000","Minor damage","96","RU","Moderate"
"us7000nrgn","-24.8565","-58.7095","19.525","M 5.1 - South Sandwich Islands region","South Sandwich Islands region","400","5.1","mb","2024-11-13 01:29:31.011000","2024-11-13 05:51:05.040000","Minor damage","22","GS","Moderate"
"us7000nscj","121.867","20.7729","10.005","M 5.2 - 37 km NNW of Basco, Philippines","37 km NNW of Basco, Philippines","416","5.2","mb","2024-11-18 03:35:33.238000","2024-11-18 06:13:11.486000","Minor damage","33","PH","Moderate"
"us7000nupk","71.1984","36.6657","215.713","M 5.1 - 30 km W of Ashkāsham, Afghanistan","30 km W of Ashkāsham, Afghanistan","401","5.1","mb","2024-11-28 10:49:00.101000","2024-11-28 12:13:20.303000","Minor damage","100","AF","Moderate"
